Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Afghanistan,2019,97.7,31.9,9.58,4620000,18.51,0.18,0,0.89,83.17757,802.61255,2.41,6079.999924,,3.911603419,494.1793499,60,652230,33.93911,67.709953
Albania,2019,100,80.7,,,,0,0,5.17,100,11585.555,2.5,4829.999924,,2.113419982,5395.659532,105,28748,41.153332,20.168331
Algeria,2019,99.5,99.7,15.93,60000,0.16,75.85,0,0.84,1.0953188,16259.053,5.32,171250,0.29474697,1,3989.668276,18,2381741,28.033886,1.659626
Angola,2019,45.6428,49.5,108.71,60000,54.69,4.38,0,11.02,71.55844,3667.4238,2.94,25209.99908,,-0.624644318,2809.626088,26,1246700,-11.202692,17.873887
Antigua and Barbuda,2019,100,100,85.47,,0.91,0.33,0,0.01,2.9411764,33027.516,3.45,519.9999809,,4.862236166,17376.64968,223,443,17.060816,-61.796428
Argentina,2019,100,99.9,283.38,474460000,10.74,90.56,7.97,34.63,31.991589,20725.168,3.35,168100.0061,11.926772,-2.025934237,10056.63794,17,2780400,-38.416097,-63.616672
Armenia,2019,100,98,469.73,72580000,10.34,2.86,2.03,2.41,60.821915,16179.096,3.53,6170.000076,,7.599999999,4604.646324,104,29743,40.069099,45.038189
Aruba,2019,100,,358.39,,7.48,0.77,0,0.15,16.304348,51107.844,3.2,,,,,590,179,12.52111,-69.96833
Australia,2019,100,100,,,10.13,196.45,0,53.41,21.37597,66263.54,4.3,386529.9988,8.880722,2.113149425,54875.28596,3,7741220,-25.274398,133.775136
Austria,2019,100,100,,,33.77,16.22,0,54.64,77.109795,48314.258,2.82,64769.99664,35.611378,1.49121085,50114.40111,109,83871,47.516231,14.550072
Azerbaijan,2019,100,96.7,128.51,,1.62,22.91,0,1.69,6.869919,17546.781,4.61,35509.99832,2.674584,2.5,4805.753718,123,86600,40.143105,47.576927
